Collection_ID,Datetime,Village_Khyllemsangrin,Village_Kriangrin,Village_Kyrdum,Village_Langja,Village_Mawsikar,Village_Nonglang,Village_Pyndensohstap,Village_Siangra,Village_Umthlu,Village_Umwahlang,House_ID,Latitude,Longitude,Elevation,Building_Material_Bamboo,Building_Material_Concrete,Building_Material_Wood,Roof_Type_Concrete,Roof_Type_Thatched,Roof_Type_Tin,Open_Eaves,Standing_Water_Cistern_Outside,Standing_Water_Plastic_Container,Standing_Water_Tin_Can,Standing_Water_Other_Container,Animals_Nearby,Chicken_Count,Chicken_Distance,Cattle_Count,Cattle_Distance,Dog_Count,Dog_Distance,Goat_Count,Goat_Distance,Pig_Count,Pig_Distance,Horse_Count,Horse_Distance,Duck_Count,Duck_Distance,Cat_Count,Cat_Distance,Terrain_Hill,Terrain_Plateau,Terrain_Valley,Sky_Clear,Sky_Heavy_Rain,Sky_Light_Rain,Sky_Partly_Cloudy,Environment_Secondary_Evergreen_Forest,Environment_Village,Wind_Gusts,Wind_Light,Wind_None,Wind_Strong,Slept_Under_ITN_LN,Used_Repellent_LN,Repellent_Type_Coil_LN,Repellent_Type_Cream_LN,Repellent_Type_Mat_LN,Repellent_Type_Spray_LN,Repellent_Type_Vaporizer_LN,Repellent_Type_Other_LN,Used_Repellent_CN,Repellent_Type_Coil_CN,Repellent_Type_Cream_CN,Repellent_Type_Mat_CN,Repellent_Type_Spray_CN,Repellent_Type_Vaporizer_CN,Repellent_Type_Other_CN,Mosquito_Count,An._Maculatus,An._Pseudowillmori,An._Willmori,An._Jeyporiensis,An._Annularis,An._Nitidus,An._Peditaeniatus,An._Xui,An._Splendidus,An._Jamesii,Rice,Open_Forest,Closed_Forest,Plantation,Village,Bare_Earth,Month
NMAW003,2019-08-28 18:23:00,0,0,0,0,1,0,0,0,0,0,maws060,25.7304,91.2255,1045,0,0,1,0,0,1,1,0,1,0,0,1,6,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.120385008,0.308914064,0.425545296,0.141612283,0.002878293,0.000665056,August
NMAW004,2019-08-28 19:43:00,0,0,0,0,1,0,0,0,0,0,maws066,25.72845,91.20638333333333,999,0,1,0,0,0,1,1,0,1,0,0,1,4,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165265586,0.308679945,0.49307672,0.027828412,0.002607375,0.002541962,August
NMAW008,2019-08-28 17:05:00,0,0,0,0,1,0,0,0,0,0,maws074,25.7291,91.20601666666667,1101,0,1,0,0,0,1,1,0,1,0,0,1,0,,0,,0,,0,,1,50.0,0,,0,,0,,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145113449,0.295304237,0.524286301,0.030233227,0.002490638,0.002572148,August
NMAW009,2019-08-29 17:15:00,0,0,0,0,1,0,0,0,0,0,maws035,25.730633333333333,91.20291666666667,1003,0,1,0,0,0,1,1,0,1,0,0,1,1,25.0,0,,0,,0,,1,50.0,0,,0,,0,,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064201975,0.19759983,0.676145656,0.059991259,0.001125298,0.000935981,August
NMAW010,2019-08-29 17:30:00,0,0,0,0,1,0,0,0,0,0,maws012,25.72835,91.2165,1051,0,0,1,0,0,1,1,0,1,0,0,1,12,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191838034,0.334143823,0.42027628,0.033088953,0.017418508,0.003234402,August
NMAW011,2019-08-29 17:45:00,0,0,0,0,1,0,0,0,0,0,maws027,25.729583333333334,91.20736666666667,1106,0,0,1,0,0,1,1,0,1,0,0,1,0,,1,25.0,0,,0,,1,25.0,0,,0,,0,,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165070376,0.335052787,0.462414685,0.031244141,0.003410167,0.002807845,August
NMAW013,2019-08-30 16:14:00,0,0,0,0,1,0,0,0,0,0,maws041,25.728616666666667,91.21696666666666,1064,0,0,1,0,0,1,1,0,0,0,1,1,2,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0.1864227,0.336562856,0.4197543,0.036537482,0.017343468,0.003379193,August
NMAW014,2019-08-30 16:20:00,0,0,0,0,1,0,0,0,0,0,maws037,25.73,91.22496666666666,1045,1,0,0,0,0,1,1,0,0,0,1,1,4,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122009755,0.31047195,0.429414868,0.134284751,0.003034521,0.000784156,August
NMAW015,2019-08-30 16:30:00,0,0,0,0,1,0,0,0,0,0,maws060,25.7304,91.2255,1045,0,0,1,0,0,1,1,0,1,0,0,1,6,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0.120385008,0.308914064,0.425545296,0.141612283,0.002878293,0.000665056,August
NMAW016,2019-08-30 16:45:00,0,0,0,0,1,0,0,0,0,0,maws066,25.72845,91.20639,999,0,1,0,0,0,1,1,0,1,0,0,1,4,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.16526558,0.308679946,0.493076726,0.027828411,0.002607375,0.002541962,August
NMAW020,2019-08-31 16:21:00,0,0,0,0,1,0,0,0,0,0,maws074,25.7291,91.20601666666667,1101,0,1,0,0,0,1,1,0,1,0,0,1,0,,0,,0,,0,,1,50.0,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0.145113449,0.295304237,0.524286301,0.030233227,0.002490638,0.002572148,August
NMAW021,2019-08-31 16:29:00,0,0,0,0,1,0,0,0,0,0,maws035,25.730633333333333,91.20291666666667,1003,0,1,0,0,0,1,1,0,1,0,0,1,1,25.0,0,,0,,0,,1,50.0,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064201975,0.19759983,0.676145656,0.059991259,0.001125298,0.000935981,August
NMAW023,2019-08-31 16:45:00,0,0,0,0,1,0,0,0,0,0,maws023,25.729583333333334,91.20736666666667,1106,0,0,1,0,0,1,1,0,1,0,0,1,0,,1,25.0,0,,0,,1,25.0,0,,0,,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165070376,0.335052787,0.462414685,0.031244141,0.003410167,0.002807845,August
NNON001,2018-06-11 13:52:00,0,0,0,0,0,1,0,0,0,0,nong019,25.685200000000002,91.1825,1164,0,0,1,0,0,1,1,1,0,0,0,1,5,50.0,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341268451,0.326696669,0.241449651,0.010062725,0.059949416,0.020573088,June
NNON002,2018-06-11 14:10:00,0,0,0,0,0,1,0,0,0,0,nong018,25.685466666666667,91.18245,1172,0,0,1,0,0,1,1,0,0,0,1,1,10,25.0,0,,1,25.0,0,,0,,0,,0,,0,,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344621558,0.323570967,0.237956183,0.009548923,0.062759858,0.021542511,June
NNON003,2018-06-11 14:40:00,0,0,0,0,0,1,0,0,0,0,nong030,25.6855,91.18393333333333,1196,0,0,1,0,0,1,1,0,0,0,0,1,5,25.0,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2,0,0,0,0,0,0,0.316152449,0.342244483,0.263903634,0.01398924,0.047887694,0.0158225,June
NNON004,2018-06-11 14:59:00,0,0,0,0,0,1,0,0,0,0,nong035,25.6855,91.18393333333333,1196,0,0,1,0,0,1,1,0,0,0,0,1,10,25.0,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316152449,0.342244483,0.263903634,0.01398924,0.047887694,0.0158225,June
NNON005,2018-06-11 15:14:00,0,0,0,0,0,1,0,0,0,0,nong032,25.6855,91.18393333333333,1196,0,0,1,0,0,1,0,0,0,0,0,1,2,25.0,0,,1,25.0,0,,4,25.0,0,,0,,1,50.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,5,0,23,0,0,0,0,5,0,0.316152449,0.342244483,0.263903634,0.01398924,0.047887694,0.0158225,June
NNON006,2018-06-11 15:24:00,0,0,0,0,0,1,0,0,0,0,nong034,25.68585,91.18415,1205,0,0,1,0,0,1,1,0,0,0,0,1,10,25.0,0,,1,25.0,0,,1,100.0,0,,0,,2,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310783074,0.344608541,0.268760287,0.014531054,0.046038772,0.015278273,June
NNON007,2018-06-11 15:38:00,0,0,0,0,0,1,0,0,0,0,nong033,25.684933333333333,91.18403333333333,1184,0,1,0,0,0,1,1,0,0,0,1,1,12,25.0,0,,2,25.0,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310306372,0.348563124,0.267503005,0.014969161,0.044220097,0.014438241,June
NNON008,2018-06-11 15:54:00,0,0,0,0,0,1,0,0,0,0,nong016,25.685483333333334,91.1819,1179,0,0,1,0,0,1,0,1,0,0,0,1,9,25.0,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352576428,0.319250329,0.230129965,0.008264732,0.066347917,0.023430629,June
NNON017,2018-07-11 15:32:00,0,0,0,0,0,1,0,0,0,0,nong029,25.68525,91.1672,1183,0,0,1,0,0,1,1,0,0,0,1,1,10,25.0,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.108844922,0.351547775,0.525073901,0.011616959,0.002741745,0.000174698,July
NNON018,2018-07-11 15:44:00,0,0,0,0,0,1,0,0,0,0,nong195,25.68415,91.18326666666667,1148,0,0,1,0,0,1,1,0,0,0,0,1,10,25.0,0,,1,25.0,3,100.0,1,50.0,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313981389,0.349744995,0.263568934,0.013030062,0.044543355,0.015131265,July
NNON019,2018-07-11 17:16:00,0,0,0,0,0,1,0,0,0,0,nong105,25.684933333333333,91.18261666666666,1162,0,1,0,0,0,1,1,1,0,0,0,1,5,25.0,0,,1,25.0,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.336412581,0.33143746,0.246155333,0.010615287,0.056052229,0.019327111,July
